	HLD_85_R1	HLD_80_R1	HLD_72_2_R1	HLD_47_R1	HLD_28_R1	HLD_23_R1	HLD_112_R1	HLD_111_2_R1	HLD_102_R1	HLD_100_R1	CL_177_R1	CL_173_2_R1	CL_169_BL_R1	CL_166_BL_R2_R1	CL_165_R1	CL_160_R1	CL_144_2_R1	CL_141_BL_R2_R1	CL_139_BL_2_R1	CL_119_R1
3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.60)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3-hydroxyisobutyrate dehydrogenase (EC 1.1.1.31)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3-hydroxyisobutyryl-CoA hydrolase (EC 3.1.2.4)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3-hydroxyphenylpropionic acid transporter	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3-isopropylmalate dehydratase large subunit (EC 4.2.1.33)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3-isopropylmalate dehydratase small subunit (EC 4.2.1.33)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3-isopropylmalate dehydrogenase (EC 1.1.1.85)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3-keto-5-aminohexanoate cleavage enzyme	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3-keto-L-gulonate 6-phosphate decarboxylase	10	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
3-keto-L-gulonate 6-phosphate decarboxylase homolog	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3-keto-L-gulonate-6-phosphate decarboxylase UlaD (EC 4.1.1.85) (L-ascorbate utilization protein D)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3-ketoacyl-CoA thiolase (EC 2.3.1.16)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3-ketoacyl-CoA thiolase [isoleucine degradation] (EC 2.3.1.16)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3-methylmercaptopropionyl-CoA dehydrogenase (DmdC)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3-methylmercaptopropionyl-CoA ligase (DmdB)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3-oxoacyl-[ACP] reductase (EC 1.1.1.100)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3-oxoacyl-[ACP] synthase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3-oxoacyl-[ACP] synthase (EC 2.3.1.41) FabV like	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3-oxoacyl-[acyl-carrier protein] reductase paralog (EC 1.1.1.100) in cluster with unspecified monosaccharide transporter	10	1	1	1	1	1	1	1	1	1	0	1	3	0	5	1	1	4	1	1
3-OXOACYL-[ACYL-CARRIER-PROTEIN] SYNTHASE III FABH (BETA-KETOACYL-ACP SYNTHASE III) (KAS III)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	10	7	0	12	1	1	0	1	0	0	0	1	0	0	6	0	0	0	0	0
3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.41)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.41)	10	2	7	0	1	1	0	1	9	2	0	2	4	0	0	0	0	1	5	0
3-oxoacyl-coenzyme A reductase of elongase (EC 1.1.1.62)	10	0	1	1	1	3	2	1	3	0	0	0	6	0	0	0	0	3	1	0
3-oxoadipate CoA-transferase subunit A (EC 2.8.3.6)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3-oxoadipate CoA-transferase subunit B (EC 2.8.3.6)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3-Oxoadipate enol-lactonase (EC 3.1.1.24)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3-oxoadipate enol-lactone hydrolase/4-carboxymuconolactone decarboxylase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3-phenylpropionate dioxygenase ferredoxin subunit	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3-phenylpropionate dioxygenase ferredoxin--NAD(+) reductase component (EC 1.18.1.3)	10	8	1	1	1	29	1	1	1	1	287	1	3	0	1	1	1	1	1	1
3-phenylpropionate dioxygenase, alpha subunit (EC 1.14.12.19)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3-phenylpropionate dioxygenase, beta subunit (EC 1.14.12.19)	10	1	1	1	1	6	1	1	1	1	4	1	3	0	1	1	1	1	1	1
3-polyprenyl-4-hydroxybenzoate carboxy-lyase (EC 4.1.1.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3-polyprenyl-4-hydroxybenzoate carboxy-lyase UbiX (EC 4.1.1.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3,4-dihydroxy-2-butanone 4-phosphate synthase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3,4-dihydroxyphenylacetate 2,3-dioxygenase (EC 1.13.11.15)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3,5-diaminobexanoate dehydrogenase (EC 1.4.1.11)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3,7-dideoxy-D-threo-hepto-2, 6-diulosonate synthase (EC 4.2.3.-)	10	1	1	1	6	6	1	9	1	1	0	1	3	0	1	4	1	1	1	1
3'-phosphoadenosine 5'-phosphosulfate sulfurtransferase DndC	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3'-to-5' exoribonuclease RNase R	10	0	1	8	0	0	2	2	0	1	0	0	0	0	1	0	0	2	0	0
3'-to-5' oligoribonuclease (orn)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3'-to-5' oligoribonuclease B, Bacillus type	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	61	1	1	1	1
3',5'-cyclic-nucleotide phosphodiesterase (EC 3.1.4.17)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
3'(2'),5'-bisphosphate nucleotidase (EC 3.1.3.7)	10	1	1	1	1	6	1	1	1	1	0	1	3	0	1	1	1	1	1	1
4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25)	10	5	3	13	0	3	0	0	1	4	0	6	8	2	4	1	0	0	3	0
4-amino-4-deoxy-L-arabinose transferase and related glycosyltransferases of PMT family	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
4-amino-6-deoxy-N-Acetyl-D-hexosaminyl-(Lipid carrier) acetyltrasferase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
4-aminobutyraldehyde dehydrogenase (EC 1.2.1.19)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	5	1	1	14	1	1
4-carboxymuconolactone decarboxylase (EC 4.1.1.44)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
4-coumarate--CoA ligase 1 (EC 6.2.1.12)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
4-cresol dehydrogenase [hydroxylating] flavoprotein subunit (EC 1.17.99.1)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase (EC 5.3.1.17)	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (EC 2.7.1.148)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
4-hydroxy-2-oxovalerate aldolase (EC 4.1.3.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.1.2)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
4-hydroxybenzoate polyprenyltransferase (EC 2.5.1.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
4-hydroxybenzoate transporter	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
4-hydroxybenzoyl-CoA reductase, beta subunit (EC 1.3.99.20)	10	2	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0
4-hydroxybenzoyl-CoA thioesterase family active site	10	5	0	0	0	0	0	1	4	14	1	4	0	0	3	0	0	0	0	0
4-hydroxycinnamoyl CoA hydratase/lyase (Enoyl-CoA hydratase/lyase) (EC 4.2.1.17)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
4-hydroxyphenylacetate 3-monooxygenase (EC 1.14.13.3)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
4-hydroxyphenylacetate 3-monooxygenase, reductase component (EC 1.6.8.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
4-hydroxyphenylacetate symporter, major facilitator superfamily (MFS)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	4	1	1
4-hydroxyproline epimerase (EC 5.1.1.8)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262)	10	2	1	0	1	3	1	0	0	1	0	1	3	0	0	0	1	1	0	1
4-keto-6-deoxy-N-Acetyl-D-hexosaminyl-(Lipid carrier) aminotransferase	10	1	1	9	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
4-oxalocrotonate decarboxylase (EC 4.1.1.77)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
4-oxalocrotonate tautomerase (EC 5.3.2.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
4-pyridoxolactonase (EC 3.1.1.27)	10	535	1	46	6	109	1	26	17	110	416	225	19	17	121	8	11	1	87	1
4,4'-diaponeurosporenoate glycosyltransferase (EC 2.4.1.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
4'-phosphopantetheinyl transferase (EC 2.7.8.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
4'-phosphopantetheinyl transferase (EC 2.7.8.-) [enterobactin] siderophore	10	1	1	1	1	167	1	1	1	1	22	1	3	17	1	1	1	11	1	1
4'-phosphopantetheinyl transferase (EC 2.7.8.-) in polymyxin biosynthetic cluster	10	1	1	1	1	1	1	365	1	1	0	1	3	0	1	183	1	2089	1	1
4'-phosphopantetheinyl transferase of FASI (EC 2.7.8.7)	10	1	9	1	1	1	1	9	1	1	0	1	3	0	1	1	1	1	1	1
4Fe-4S ferredoxin, iron-sulfur binding	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
4Fe-4S ferredoxin, nitrogenase-associated	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193)	10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-aminolevulinate synthase (EC 2.3.1.37)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5-aminopentanamidase (EC 3.5.1.30)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	11	1	1	1
5-aminovalerate aminotransferase (EC 2.6.1.48)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5-carboxymethyl uridine and 5-carboxymethyl 2-thiouridine methyltransferase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5-carboxymethyl-2-hydroxymuconate delta-isomerase (EC 5.3.3.10)	10	1	1	1	1	1	1	1	8	1	0	1	3	3	1	1	1	1	1	1
5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase (EC 1.2.1.60)	10	1	1	1	1	1	1	1	1	1	24	1	3	0	5	1	1	1	9	1
5-carboxymethyl-2-oxo-hex-3- ene-1,7-dioate decarboxylase (EC 4.1.1.68)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5-dehydro-4-deoxyglucarate dehydratase (EC 4.2.1.41)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5-deoxy-glucuronate isomerase (EC 5.3.1.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5-Enolpyruvylshikimate-3-phosphate synthase (EC 2.5.1.19)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5-FCL-like protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5-FCL-like protein, but predicted not to be 5-formyltetrahydrofolate cyclo-ligase (5-FCL)	10	0	0	0	0	0	1	0	0	0	2	1	1	1	0	0	1	0	1	0
5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2)	10	8	61	9	431	75	320	1	25	1	222	1	127	30	1	4	83	61	61	729
5-keto-2-deoxy-D-gluconate-6 phosphate aldolase (EC 4.1.2.29)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5-keto-2-deoxygluconokinase (EC 2.7.1.92)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	11	1	1
5-keto-D-gluconate 5-reductase (EC 1.1.1.69)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5-methyl-dCTP pyrophosphohydrolase (EC 3.6.1.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5-methylaminomethyl-2-thiouridine-forming enzyme mnmC	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13)	10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
5-methyltetrahydrofolate:corrinoid iron-sulfur protein methyltransferase	10	8	1	1	11	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14)	10	8	1	1	1	98	1	1	1	1	0	1	3	0	1	4	1	7	1	1
5-methylthioribose kinase (EC 2.7.1.100)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5-nucleotidase SurE (EC 3.1.3.5)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase.	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)	10	73	0	0	39	0	0	0	0	0	0	10	3	0	0	11	0	0	0	0
5,6-dimethylbenzimidazole synthase, flavin destructase family	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5'-methylthioadenosine nucleosidase (EC 3.2.2.16)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5'-methylthioadenosine phosphorylase (EC 2.4.2.28)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase related protein BCZK2595	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase related protein VF1653	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5'-nucleotidase (EC 3.1.3.5)	10	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0
5'-nucleotidase family protein in cluster with NagD-like phosphatase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
5'-nucleotidase YjjG (EC 3.1.3.5)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
50S ribosomal protein acetyltransferase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
50S ribosomal subunit maturation GTPase RbgA (B. subtilis YlqF)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
6 kDa early secretory antigenic target ESAT-6 (EsxA)	10	0	6	0	13	0	0	7	0	69	1	3	0	0	0	6	0	0	4	14
6-phospho-3-hexuloisomerase	10	2	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	3740	0	0
6-phospho-beta-galactosidase (EC 3.2.1.85)	10	1	1	1	1	17	1	1	1	1	0	11	3	10	1	1	1	145	1	418
6-phospho-beta-glucosidase (EC 3.2.1.86)	10	1	1	1	1	1	7	1	1	1	0	1	3	0	1	1	1	1	1	1
6-phospho-beta-glucosidase ascB (EC 3.2.1.86)	10	1	1	1	1	12	1	1	1	1	0	1	3	0	1	8	1	1	1	1
6-phosphofructokinase (EC 2.7.1.11)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
6-phosphofructokinase class II (EC 2.7.1.11)	10	1	1	1	1	17	1	1	8	1	24	1	3	77	1	1	1	11	26	1
6-phosphofructokinase, eukaryotic type (EC 2.7.1.11)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	4	1	1	1	1
6-phosphogluconolactonase (EC 3.1.1.31)	10	1	1	1	1	1	20	1	1	1	649	1	3	248	5	1	1	11	1	1314
6-phosphogluconolactonase (EC 3.1.1.31), eukaryotic type	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
6-pyruvoyl tetrahydrobiopterin synthase (EC 4.2.3.12)	10	1	1	1	1	1	1	110	25	65	6	1	109	0	1	1	31	1	1	1
6,7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.9)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
7,8 dihydropteroate synthase (methanopterin)	10	1	1	1	1	1	1	9	8	1	0	1	3	0	1	1	1	25	1	1
7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase subunit 2	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
8-amino-7-oxononanoate synthase (EC 2.3.1.47)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
a forespore shell protein	10	0	0	0	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0
A/G-specific adenine glycosylase (EC 3.2.2.-)	10	5	4	2	4	2	0	1	4	2	1	3	21	2	0	1	8	15	10	4
AA3-600 quinol oxidase subunit I	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
AA3-600 quinol oxidase subunit II	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
AA3-600 quinol oxidase subunit IIII	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
AA3-600 quinol oxidase subunit IV	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
AAA family ATPase, ESX-1 secretion system component Rv3868	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ABC efflux pump, fused inner membrane and ATPase subunits in pyochelin gene cluster	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ABC exporter for hemopore HasA, ATP-binding component HasD	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ABC exporter for hemopore HasA, membrane fusion protein (MFP) family component HasE	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ABC exporter for hemopore HasA, outer membrane component HasF	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ABC transport system, permease component YbhR	10	1	1	1	1	1	1	1	1	1	0	1	3	0	10	1	1	1	1	1
ABC transport system, permease component YbhS	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ABC transporter ATP-binding protein USSDB6B	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ABC transporter ATP-binding protein uup	10	1	1	1	1	506	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ABC transporter ATP-binding protein YvcR	10	0	1	0	2	1	0	1	1	1	0	1	18	0	0	0	2	0	4	2
ABC transporter in pyoverdin gene cluster, ATP-binding component	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ABC transporter in pyoverdin gene cluster, periplasmic component	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ABC transporter in pyoverdin gene cluster, permease component	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ABC transporter involved in cytochrome c biogenesis, ATPase component CcmA	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ABC transporter involved in cytochrome c biogenesis, CcmB subunit	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ABC transporter membrane-spanning permease, Pep export, Vex1	10	2	2	17	0	2	2	6	0	5	1	4	0	1	23	1	0	1	1	0
ABC transporter membrane-spanning permease, Pep export, Vex3	10	8	70	37	6	6	20	1	17	1	8	21	164	5	425	4	1	108	18	46
ABC transporter multidrug efflux pump, fused ATP-binding domains	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ABC transporter permease protein YvcS	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ABC transporter protein IroC	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ABC transporter, ATP-binding protein Vex2	10	1	1	137	1	1	167	1	17	1	0	1	3	0	1	1	1	1	1	1
ABC transporter, periplasmic spermidine putrescine-binding protein PotD (TC 3.A.1.11.1)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ABC transporter, predicted N-acetylneuraminate transport system permease protein 1	10	23	1	9	6	1	20	1	1	1	283	1	3	117	1	1	21	7	26	1318
ABC transporter, predicted N-acetylneuraminate transport system permease protein 2	10	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0
ABC transporter, predicted N-acetylneuraminate-binding protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ABC transporter, transmembrane region:ABC transporter:Peptidase C39, bacteriocin processing	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ABC-type Fe3+ transport system protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ABC-type Fe3+-siderophore transport system, ATPase component	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ABC-type Fe3+-siderophore transport system, periplasmic iron-binding component	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ABC-type Fe3+-siderophore transport system, permease 2 component	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ABC-type Fe3+-siderophore transport system, permease component	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ABC-type hemin transport system, ATPase component	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ABC-type multidrug transport system, ATPase component	10	1	0	0	0	0	0	1	0	0	0	0	51	0	0	0	0	0	0	0
ABC-type multidrug transport system, permease component	10	2	1	1	1	1	3	1	1	0	2	3	21	0	0	2	6	0	3	0
ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ABC-type nitrate/sulfonate/bicarbonate transport system, permease component	10	0	0	0	1	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0
ABC-type nitrate/sulfonate/bicarbonate transport systems, periplasmic components	10	2	0	0	0	1	0	12	5	0	2	2	0	0	0	0	0	0	0	0
ABC-type polar amino acid transport system, ATPase component	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ABC-type probable sulfate transporter, ATPase component	10	5368	1	9	6	11570	1	1	8	1	73	1	3	0	5	1275	1	1	1	859
ABC-type probable sulfate transporter, periplasmic binding protein	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0
ABC-type probable sulfate transporter, permease protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ABC-type protease exporter, ATP-binding component PrtD/AprD	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ABC-type protease exporter, membrane fusion protein (MFP) family component PrtE/AprE	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ABC-type protease exporter, outer membrane component PrtF/AprF	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ABC-type sugar transport system, periplasmic binding protein YcjN	10	1	1	1	1	1	1	1	1	1	2	1	3	2	1	1	1	1	1	1
ABC-type transport system involved in resistance to organic solvents, periplasmic component USSDB6C	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ABC-type transport system involved in resistance to organic solvents, permease component USSDB6A	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ABC-type tungstate transport system, ATP-binding protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ABC-type tungstate transport system, periplasmic binding protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ABC-type tungstate transport system, permease protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Accessory colonization factor AcfB	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Accessory colonization factor AcfC	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Accessory colonization factor AcfD precursor	10	1	1	1	6	1	1	1	1	1	0	2288	3	0	1	1	1	1	1	1
Accessory secretory protein Asp1	10	1	1	1	1	1	1	1	1	1	0	1	37	0	10	1	1	1	1	1
Accessory secretory protein Asp2	10	1	1	1	1	1	1	1	1	1	0	11	3	0	20	1	1	1	1	5
Accessory secretory protein Asp3	10	9	30	4	0	2	0	4	1	10	1	0	2	1	19	0	1	5	0	2
Accumulation-associated protein AAP	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Acetaldehyde dehydrogenase (EC 1.2.1.10)	10	1	1	1	16	109	1	9	1	1	0	11	19	0	25	1	1	119	18	1
Acetaldehyde dehydrogenase, acetylating, (EC 1.2.1.10) in gene cluster for degradation of phenols, cresols, catechol	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
